seller,seller_rank,item_sales_brl,cumulative_pct_sellers,cumulative_pct_sales
2138ccb85b11a4ec1e37afbd1c8eda1f,225,11642.73,8.0559,62.3859
48436dade18ac8b2bce089ec2a041202,226,11639.13,8.0917,62.4802
128639473a139ac0f3e5f5ade55873a5,227,11638.55,8.1275,62.5745
e26901d5ab434ce92fd9b5c256820a4e,228,11601.5,8.1633,62.6685
c4d51195486dc781531876a7d00453d8,229,11468.98,8.1991,62.7614
25e6ffe976bd75618accfe16cefcbd0d,230,11464.62,8.2349,62.8543
c8b0e2b0a7095e5d8219575d5e7e1181,231,11457.24,8.2707,62.9471
d1b65fc7debc3361ea86b5f14c68d2e2,232,11413.17,8.3065,63.0396
a7f13822ceb966b076af67121f87b063,233,11406.8,8.3423,63.132
ce7d1888639e6fb06b2749cbfdac1ff7,234,11377.89,8.3781,63.2242
adbc26658d6c7b4b6219f9d934598091,235,11346.8,8.4139,63.3161
610f72e407cdd7caaa2f8167b0163fd8,236,11328.75,8.4497,63.4079
c33847515fa6305ce6feb1e818569f13,237,11267.21,8.4855,63.4992
5d378b73ab7dd6f0418d743e5dcb0bd1,238,11254.0,8.5213,63.5904
1d8dbc4f32378d715c717c1c1fc57bae,239,11205.99,8.5571,63.6812
6cd68b3ed6d59aaa9fece558ad360c0a,240,11188.57,8.5929,63.7718
80e6699fe29150b372a0c8a1ebf7dcc8,241,11079.67,8.6287,63.8616
ccb83a794700270fde70898fe9ff368b,242,11062.0,8.6645,63.9512
9e6229250fedbe05838fef417b74e7fb,243,10973.6,8.7003,64.0402
813348c996469b40f2e028d5429d3495,244,10813.53,8.7361,64.1278
0be8ff43f22e456b4e0371b2245e4d01,245,10776.8,8.7719,64.2151
82e0a475a88cc9595229d8029273f045,246,10748.02,8.8077,64.3022
7ea5bfa6c340f58f8e71fc1f0412b0d6,247,10741.36,8.8435,64.3892
95e03ca3d4146e4011985981aeb959b9,248,10736.66,8.8793,64.4762
530ec6109d11eaaf87999465c6afee01,249,10732.32,8.9151,64.5631
5a8e7d5003a1f221f9e1d6e411de7c23,250,10642.8,8.9509,64.6494
c60b801f2d52c7f7f91de00870882a75,251,10599.5,8.9868,64.7352
72c5da29406b4234927b81855e7b64f6,252,10418.74,9.0226,64.8197
6973a06f484aacf400ece213dbf3d946,253,10418.72,9.0584,64.9041
54965bbe3e4f07ae045b90b0b8541f52,254,10351.7,9.0942,64.9879
ff063b022a9a0aab91bad2c9088760b7,255,10299.5,9.13,65.0714
dd2bdf855a9172734fbc3744021ae9b9,256,10267.2,9.1658,65.1546
