purchase_date,approved,canceled,created,delivered,invoiced,processing,shipped,unavailable
2018-03-23,0,1,0,209,1,2,7,1
2018-03-24,0,0,0,163,0,0,2,0
2018-03-25,0,0,0,188,1,0,1,0
2018-03-26,0,1,0,266,1,0,3,1
2018-03-27,0,1,0,239,0,0,5,0
2018-03-28,0,1,0,210,1,0,7,1
2018-03-29,0,1,0,188,1,0,4,0
2018-03-30,0,0,0,163,0,1,1,0
2018-03-31,0,0,0,164,0,0,3,1
2018-04-01,0,0,0,201,1,0,5,0
2018-04-02,0,1,0,274,1,1,4,1
2018-04-03,0,0,0,243,1,0,2,1
2018-04-04,0,0,0,252,0,0,5,0
2018-04-05,0,0,0,261,1,0,4,0
2018-04-06,0,1,0,181,0,0,7,0
2018-04-07,0,0,0,161,0,0,3,0
2018-04-08,0,0,0,183,0,0,2,0
2018-04-09,0,0,0,250,0,0,3,0
2018-04-10,0,0,0,196,0,0,5,0
2018-04-11,0,0,0,262,1,2,9,0
2018-04-12,0,0,0,253,0,0,2,0
2018-04-13,0,3,0,197,0,1,1,0
2018-04-14,0,0,0,145,1,0,0,0
2018-04-15,0,0,0,219,0,1,3,0
2018-04-16,0,1,0,276,2,0,1,0
2018-04-17,0,1,0,258,1,0,5,1
2018-04-18,0,0,0,271,2,0,7,0
2018-04-19,0,2,0,287,0,0,3,1
2018-04-20,0,0,0,192,0,1,3,1
2018-04-21,0,0,0,154,0,0,2,0
2018-04-22,0,0,0,199,1,0,0,0
2018-04-23,0,0,0,283,0,0,2,0
2018-04-24,0,1,0,265,2,0,3,0
2018-04-25,0,1,0,279,0,0,4,0
2018-04-26,0,1,0,250,0,0,3,0
2018-04-27,0,1,0,237,0,0,4,0
2018-04-28,0,1,0,166,0,0,2,0
2018-04-29,0,1,0,168,0,0,2,0
2018-04-30,0,0,0,235,0,2,3,0
2018-05-01,0,1,0,252,0,0,2,1
2018-05-02,0,0,0,287,2,0,6,1
2018-05-03,0,0,0,300,2,0,2,1
2018-05-04,0,0,0,262,0,0,3,0
2018-05-05,0,2,0,192,0,2,1,0
2018-05-06,0,1,0,206,0,0,3,1
2018-05-07,0,2,0,363,1,2,3,1
2018-05-08,0,3,0,323,1,1,2,1
2018-05-09,0,1,0,335,1,0,5,2
2018-05-10,0,1,0,273,2,0,3,0
2018-05-11,0,0,0,244,0,0,2,1
2018-05-12,0,1,0,200,3,0,1,2
2018-05-13,0,0,0,205,0,0,1,1
2018-05-14,0,1,0,355,1,0,7,0
2018-05-15,0,1,0,348,1,1,1,0
2018-05-16,0,1,0,351,3,0,2,0
2018-05-17,0,1,0,224,1,0,1,1
2018-05-18,0,0,0,232,2,0,2,0
2018-05-19,0,1,0,137,1,0,0,0
2018-05-20,0,1,0,158,1,0,1,0
2018-05-21,0,3,0,199,2,0,0,2
2018-05-22,0,2,0,195,0,0,2,0
2018-05-23,0,0,0,132,0,0,0,0
2018-05-24,0,0,0,113,0,0,1,0
2018-05-25,0,0,0,103,0,0,0,1
2018-05-26,0,0,0,99,0,0,0,0
2018-05-27,0,0,0,100,0,0,0,0
2018-05-28,0,1,0,142,0,0,0,0
2018-05-29,0,0,0,149,0,0,0,0
2018-05-30,0,0,0,138,0,0,2,0
2018-05-31,0,0,0,132,0,0,1,0
2018-06-01,0,0,0,184,0,0,0,0
2018-06-02,0,0,0,141,0,0,1,0
2018-06-03,0,0,0,189,1,0,1,1
2018-06-04,0,0,0,222,0,0,3,0
2018-06-05,0,3,0,196,0,0,1,0
2018-06-06,0,0,0,227,0,0,0,0
2018-06-07,0,0,0,223,0,0,0,0
2018-06-08,0,0,0,195,0,0,3,0
2018-06-09,0,0,0,169,0,0,3,0
2018-06-10,0,2,0,190,0,0,1,0
2018-06-11,0,0,0,294,0,0,0,0
2018-06-12,0,0,0,244,1,0,1,0
2018-06-13,0,1,0,253,0,0,5,0
2018-06-14,0,0,0,211,0,0,1,0
2018-06-15,0,1,0,182,0,0,3,0
2018-06-16,0,0,0,162,0,0,3,0
2018-06-17,0,0,0,151,0,0,1,0
2018-06-18,0,1,0,243,0,0,2,0
2018-06-19,0,2,0,228,0,0,1,0
2018-06-20,0,1,0,216,0,0,0,0
2018-06-21,0,0,0,232,0,0,2,0
2018-06-22,0,0,0,177,1,0,1,0
2018-06-23,0,1,0,149,0,0,1,0
2018-06-24,0,1,0,198,0,0,0,0
2018-06-25,0,1,0,238,0,0,1,1
2018-06-26,0,2,0,238,0,0,2,1
2018-06-27,0,0,0,214,0,0,0,1
2018-06-28,0,1,0,239,0,0,3,0
2018-06-29,0,1,0,171,0,0,2,0
2018-06-30,0,0,0,123,0,0,1,0
2018-07-01,0,0,0,159,0,0,2,0
2018-07-02,0,2,0,193,0,0,0,0
2018-07-03,0,1,0,214,0,0,1,0
2018-07-04,0,2,0,251,0,0,3,0
2018-07-05,0,1,0,193,0,0,1,0
2018-07-06,0,0,0,120,0,0,1,0
2018-07-07,0,0,0,89,0,0,2,0
2018-07-08,0,2,0,118,0,0,2,0
2018-07-09,0,0,0,146,0,0,2,0
2018-07-10,0,0,0,129,0,0,3,2
2018-07-11,0,1,0,123,2,0,1,0
2018-07-12,0,3,0,117,0,0,1,3
2018-07-13,0,0,0,167,0,0,0,1
2018-07-14,0,2,0,142,1,0,3,0
2018-07-15,0,1,0,148,0,0,3,0
2018-07-16,0,2,0,238,2,0,3,0
2018-07-17,0,2,0,216,0,0,3,0
2018-07-18,0,1,0,302,1,0,2,1
2018-07-19,0,0,0,249,0,0,4,0
2018-07-20,0,2,0,247,0,0,0,1
2018-07-21,0,2,0,184,0,0,1,0
2018-07-22,0,1,0,213,0,0,1,0
2018-07-23,0,1,0,298,1,1,4,2
2018-07-24,0,0,0,264,2,0,4,1
2018-07-25,0,1,0,264,1,0,2,0
2018-07-26,0,2,0,244,0,0,1,0
2018-07-27,0,0,0,186,0,0,3,0
2018-07-28,0,0,0,172,1,0,2,1
2018-07-29,0,4,0,182,0,0,2,0
2018-07-30,0,4,0,278,0,0,2,4
2018-07-31,0,4,0,313,2,0,1,2
2018-08-01,0,2,0,306,0,0,2,1
2018-08-02,0,2,0,292,3,0,3,2
2018-08-03,0,2,0,308,3,0,1,0
2018-08-04,0,3,0,236,1,0,5,0
2018-08-05,0,2,0,269,3,0,2,0
2018-08-06,0,4,0,363,3,0,2,0
2018-08-07,0,9,0,353,7,0,1,0
2018-08-08,0,2,0,310,0,0,4,0
2018-08-09,0,6,0,280,2,0,1,0
2018-08-10,0,3,0,249,0,0,3,1
2018-08-11,0,0,0,185,0,0,1,2
2018-08-12,0,0,0,191,0,0,6,0
2018-08-13,0,5,0,284,0,0,3,0
2018-08-14,0,4,0,311,1,0,0,0
